Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      0.00     0.00        4     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00        4     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      0.00     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00        4     0.00     0.00  float* std::__niter_wrap<float*>(float* const&, float*)
  0.00      0.00     0.00        4     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      0.00     0.00        4     0.00     0.00  float* std::__copy_move_a<false, float const*, float*>(float const*, float const*, float*)
  0.00      0.00     0.00        4     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.00     0.00        4     0.00     0.00  float* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00        4     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00        4     0.00     0.00  float* std::uninitialized_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00        4     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00        4     0.00     0.00  float* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, float>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, std::allocator<float>&)
  0.00      0.00     0.00        4     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.00     0.00        4     0.00     0.00  float* std::copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00        4     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<float>::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<float, std::allocator<float> >::vector()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I_array
  0.00      0.00     0.00        1     0.00     0.00  final_step(int, int, std::vector<int, std::allocator<int> >)
  0.00      0.00     0.00        1     0.00     0.00  cpr_into_max_pixel(std::vector<float, std::allocator<float> >)
  0.00      0.00     0.00        1     0.00     0.00  create_frequency_array(int, int)
  0.00      0.00     0.00        1     0.00     0.00  cumulative_probability(std::vector<float, std::allocator<float> >)
  0.00      0.00     0.00        1     0.00     0.00  individual_probabilities(std::vector<int, std::allocator<int> >, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)

			Call graph


granularity: each sample hit covers 2 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00       1/497313      main [6]
                0.00    0.00     256/497313      individual_probabilities(std::vector<int, std::allocator<int> >, int) [157]
                0.00    0.00     256/497313      cpr_into_max_pixel(std::vector<float, std::allocator<float> >) [154]
                0.00    0.00  165600/497313      final_step(int, int, std::vector<int, std::allocator<int> >) [153]
                0.00    0.00  331200/497313      create_frequency_array(int, int) [155]
[8]      0.0    0.00    0.00  497313         std::vector<int, std::allocator<int> >::operator[](unsigned long) [8]
-----------------------------------------------
                0.00    0.00      19/1558        void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&) [72]
                0.00    0.00     513/1558        void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&) [15]
                0.00    0.00     513/1558        void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&) [14]
                0.00    0.00     513/1558        void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&) [13]
[9]      0.0    0.00    0.00    1558         int&& std::forward<int>(std::remove_reference<int>::type&) [9]
-----------------------------------------------
                0.00    0.00      18/1554        void std::vector<float, std::allocator<float> >::_M_realloc_insert<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&) [77]
                0.00    0.00     512/1554        void std::vector<float, std::allocator<float> >::emplace_back<float>(float&&) [20]
                0.00    0.00     512/1554        void std::allocator_traits<std::allocator<float> >::construct<float, float>(std::allocator<float>&, float*, float&&) [19]
                0.00    0.00     512/1554        void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&) [18]
[10]     0.0    0.00    0.00    1554         float&& std::forward<float>(std::remove_reference<float>::type&) [10]
-----------------------------------------------
                0.00    0.00     256/1279        individual_probabilities(std::vector<int, std::allocator<int> >, int) [157]
                0.00    0.00     256/1279        cpr_into_max_pixel(std::vector<float, std::allocator<float> >) [154]
                0.00    0.00     767/1279        cumulative_probability(std::vector<float, std::allocator<float> >) [156]
[11]     0.0    0.00    0.00    1279         std::vector<float, std::allocator<float> >::operator[](unsigned long) [11]
-----------------------------------------------
                0.00    0.00     512/1025        void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&) [18]
                0.00    0.00     513/1025        void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&) [13]
[12]     0.0    0.00    0.00    1025         operator new(unsigned long, void*) [12]
-----------------------------------------------
                0.00    0.00     513/513         void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&) [14]
[13]     0.0    0.00    0.00     513         void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&) [13]
                0.00    0.00     513/1558        int&& std::forward<int>(std::remove_reference<int>::type&) [9]
                0.00    0.00     513/1025        operator new(unsigned long, void*) [12]
-----------------------------------------------
                0.00    0.00      19/513         void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&) [72]
                0.00    0.00     494/513         void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&) [15]
[14]     0.0    0.00    0.00     513         void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&) [14]
                0.00    0.00     513/1558        int&& std::forward<int>(std::remove_reference<int>::type&) [9]
                0.00    0.00     513/513         void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&) [13]
-----------------------------------------------
                0.00    0.00     513/513         std::vector<int, std::allocator<int> >::push_back(int&&) [16]
[15]     0.0    0.00    0.00     513         void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&) [15]
                0.00    0.00     513/1558        int&& std::forward<int>(std::remove_reference<int>::type&) [9]
                0.00    0.00     494/513         void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&) [14]
                0.00    0.00      19/19          std::vector<int, std::allocator<int> >::end() [73]
                0.00    0.00      19/19          void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&) [72]
-----------------------------------------------
                0.00    0.00     256/513         cpr_into_max_pixel(std::vector<float, std::allocator<float> >) [154]
                0.00    0.00     257/513         create_frequency_array(int, int) [155]
[16]     0.0    0.00    0.00     513         std::vector<int, std::allocator<int> >::push_back(int&&) [16]
                0.00    0.00     513/513         std::remove_reference<int&>::type&& std::move<int&>(int&) [17]
                0.00    0.00     513/513         void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&) [15]
-----------------------------------------------
                0.00    0.00     513/513         std::vector<int, std::allocator<int> >::push_back(int&&) [16]
[17]     0.0    0.00    0.00     513         std::remove_reference<int&>::type&& std::move<int&>(int&) [17]
-----------------------------------------------
                0.00    0.00     512/512         void std::allocator_traits<std::allocator<float> >::construct<float, float>(std::allocator<float>&, float*, float&&) [19]
[18]     0.0    0.00    0.00     512         void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&) [18]
                0.00    0.00     512/1554        float&& std::forward<float>(std::remove_reference<float>::type&) [10]
                0.00    0.00     512/1025        operator new(unsigned long, void*) [12]
-----------------------------------------------
                0.00    0.00      18/512         void std::vector<float, std::allocator<float> >::_M_realloc_insert<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&) [77]
                0.00    0.00     494/512         void std::vector<float, std::allocator<float> >::emplace_back<float>(float&&) [20]
[19]     0.0    0.00    0.00     512         void std::allocator_traits<std::allocator<float> >::construct<float, float>(std::allocator<float>&, float*, float&&) [19]
                0.00    0.00     512/1554        float&& std::forward<float>(std::remove_reference<float>::type&) [10]
                0.00    0.00     512/512         void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&) [18]
-----------------------------------------------
                0.00    0.00     512/512         std::vector<float, std::allocator<float> >::push_back(float&&) [21]
[20]     0.0    0.00    0.00     512         void std::vector<float, std::allocator<float> >::emplace_back<float>(float&&) [20]
                0.00    0.00     512/1554        float&& std::forward<float>(std::remove_reference<float>::type&) [10]
                0.00    0.00     494/512         void std::allocator_traits<std::allocator<float> >::construct<float, float>(std::allocator<float>&, float*, float&&) [19]
                0.00    0.00      18/18          std::vector<float, std::allocator<float> >::end() [78]
                0.00    0.00      18/18          void std::vector<float, std::allocator<float> >::_M_realloc_insert<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&) [77]
-----------------------------------------------
                0.00    0.00     256/512         individual_probabilities(std::vector<int, std::allocator<int> >, int) [157]
                0.00    0.00     256/512         cumulative_probability(std::vector<float, std::allocator<float> >) [156]
[21]     0.0    0.00    0.00     512         std::vector<float, std::allocator<float> >::push_back(float&&) [21]
                0.00    0.00     512/512         std::remove_reference<float&>::type&& std::move<float&>(float&) [22]
                0.00    0.00     512/512         void std::vector<float, std::allocator<float> >::emplace_back<float>(float&&) [20]
-----------------------------------------------
